Date,Description,Amount,Payment_Method,Category
2024-01-23,UPI APOLLO PHARMACY GUNTUR,431.9,Net Banking,Healthcare
2024-01-23,UPI BAKERY PURCHASE HYD,1669.74,Cash,Food
2024-01-23,BOOK STORE REF855069,21013.47,UPI,Education
2024-01-23,CASH WITHDRAWAL,1505.15,Debit Card,Other
2024-01-23,CERTIFICATION EXAM REF956560,11918.28,Debit Card,Education
2024-01-23,YOUTUBE PREMIUM REF828240,1144.59,Debit Card,Entertainment
2024-01-23,UPI KFC RESTAURANT VIJAYAWADA,419.58,Cash,Food
2024-01-23,NETFLIX SUBSCRIPTION,1022.55,UPI,Entertainment
2024-01-23,YOUTUBE PREMIUM,2696.57,Net Banking,Entertainment
2024-01-24,INDIAN OIL PETROL,2690.58,Debit Card,Transport
2024-01-24,UPI ROOM RENT BLR,23946.3,Credit Card,Rent
2024-01-24,DOMINOS PIZZA REF414465,1786.8,Wallet,Food
2024-01-24,AIRTEL RECHARGE,3289.17,Debit Card,Bills
2024-01-24,INDEX FUND SIP TXN13382,15815.21,Credit Card,Investment
2024-01-24,UDEMY COURSE,21285.67,Net Banking,Education
2024-01-24,KFC RESTAURANT REF250116,688.46,Cash,Food
2024-01-24,WATER BILL TXN89117,4511.14,Debit Card,Bills
2024-01-24,MUTUAL FUND INVESTMENT TXN84205,10232.08,Credit Card,Investment
2024-01-24,UPI PG RENT PAYMENT HYD,18254.49,Debit Card,Rent
2024-01-24,DENTAL CLINIC,6066.46,Cash,Healthcare
2024-01-24,UPI APARTMENT RENT BLR,19593.18,Net Banking,Rent
2024-01-24,AMAZON PURCHASE REF684526,9602.25,Credit Card,Shopping
2024-01-25,HOTSTAR SUBSCRIPTION TXN46366,382.18,Net Banking,Entertainment
2024-01-25,PVR CINEMAS,1155.21,Net Banking,Entertainment
2024-01-25,DOMINOS PIZZA TXN48020,639.78,Wallet,Food
2024-01-25,UPI HOSTEL RENT HYD,21344.89,Wallet,Rent
2024-01-25,DENTAL CLINIC REF435155,951.56,Cash,Healthcare
2024-01-25,HEALTH CHECKUP TXN75980,752.99,UPI,Healthcare
2024-01-25,STOCK INVESTMENT,769.98,Wallet,Investment
2024-01-25,ONLINE COURSE PAYMENT,16693.61,Debit Card,Education
2024-01-25,AJIO PURCHASE,7001.47,Cash,Shopping
2024-01-25,UPI BAKERY PURCHASE BLR,952.67,Debit Card,Food
2024-01-25,RELIANCE TRENDS TXN14164,7374.03,Wallet,Shopping
2024-01-25,UPI FIXED DEPOSIT HYD,28005.73,Debit Card,Investment
2024-01-25,DONATION PAYMENT,365.15,Wallet,Other
2024-01-25,OLA CAB REF603281,1312.89,Cash,Transport
2024-01-26,HOSTEL FEE RENT,13457.04,Credit Card,Rent
2024-01-26,HOTSTAR SUBSCRIPTION,3673.06,Cash,Entertainment
2024-01-26,UPI MUTUAL FUND INVESTMENT VIJAYAWADA,3556.41,Cash,Investment
2024-01-26,HOTSTAR SUBSCRIPTION TXN71780,1534.15,UPI,Entertainment
2024-01-26,MOVIE TICKET,2923.23,Cash,Entertainment
2024-01-26,UPI HOUSE RENT BLR,5571.27,Net Banking,Rent
2024-01-26,RELIANCE TRENDS,4919.57,Debit Card,Shopping
2024-01-26,AMAZON PRIME TXN53297,2544.29,UPI,Entertainment
2024-01-26,UPI AJIO PURCHASE VIJAYAWADA,13233.1,Debit Card,Shopping
2024-01-26,COURSERA COURSE REF707926,15130.46,Net Banking,Education
2024-01-26,INOX MOVIES,2220.76,Credit Card,Entertainment
2024-01-27,UPI PG RENT PAYMENT BLR,7122.76,UPI,Rent
2024-01-27,YOUTUBE PREMIUM REF631778,1794.73,UPI,Entertainment
2024-01-27,MCDONALDS ORDER REF878720,1412.41,Debit Card,Food
2024-01-27,UPI BROADBAND BILL BLR,3066.26,Cash,Bills
2024-01-27,GOLD SAVINGS,8477.85,Credit Card,Investment
2024-01-27,TEA SHOP UPI REF482788,1064.33,Wallet,Food
2024-01-27,MEESHO ORDER TXN35764,14964.87,Wallet,Shopping
2024-01-27,FIXED DEPOSIT REF612088,25058.88,Credit Card,Investment
2024-01-27,UPI HOSPITAL PAYMENT HYD,1402.3,Cash,Healthcare
2024-01-27,PHARMACY UPI,2076.78,Debit Card,Healthcare
2024-01-27,MISCELLANEOUS PAYMENT TXN99228,1442.3,Wallet,Other
2024-01-28,MUTUAL FUND INVESTMENT REF793545,24264.68,Cash,Investment
2024-01-28,SIP INVESTMENT REF293807,6656.75,UPI,Investment
2024-01-28,DOCTOR CONSULTATION,2391.24,UPI,Healthcare
2024-01-28,VI MOBILE RECHARGE,3015.23,UPI,Bills
2024-01-28,PETROL PUMP,2657.35,Net Banking,Transport
2024-01-28,RESTAURANT PAYMENT,1037.69,UPI,Food
2024-01-29,ATM FEE,593.35,Debit Card,Other
2024-01-29,CAFE COFFEE DAY,294.72,UPI,Food
2024-01-29,RECURRING DEPOSIT REF163594,20109.93,Net Banking,Investment
2024-01-29,UPI TRANSFER,1549.9,Cash,Other
2024-01-29,PERSONAL TRANSFER,8172.85,Wallet,Other
2024-01-29,MEESHO ORDER REF351457,9817.19,Debit Card,Shopping
2024-01-29,RELIANCE TRENDS REF715195,10596.51,Debit Card,Shopping
2024-01-29,UPI BOOK STORE HYD,499.36,UPI,Education
2024-01-30,RELIANCE TRENDS REF294751,11431.84,Wallet,Shopping
2024-01-30,OLA CAB,2980.28,Debit Card,Transport
2024-01-30,UPI UDEMY COURSE GUNTUR,4614.76,Net Banking,Education
2024-01-30,RECURRING DEPOSIT TXN44150,19450.71,Wallet,Investment
2024-01-30,DONATION PAYMENT,7889.9,UPI,Other
2024-01-30,UPI ROOM RENT HYD,22674.11,UPI,Rent
2024-01-30,AIRTEL RECHARGE,1203.48,Net Banking,Bills
2024-01-30,ELECTRICITY BILL,4851.06,Net Banking,Bills
2024-01-30,HEALTH CHECKUP TXN54087,7492.45,Net Banking,Healthcare
2024-01-30,DENTAL CLINIC TXN44757,6256.94,UPI,Healthcare
2024-01-30,UPI TATA PLAY RECHARGE GUNTUR,2671.43,Net Banking,Bills
2024-01-30,MEESHO ORDER,6046.68,UPI,Shopping
2024-01-31,UDEMY COURSE REF358237,8741.03,Credit Card,Education
2024-01-31,RESTAURANT PAYMENT TXN90385,491.57,Credit Card,Food
2024-01-31,HOUSE RENT,7260.93,Wallet,Rent
2024-01-31,UPI CAFE COFFEE DAY BLR,1700.92,Wallet,Food
2024-01-31,GOLD SAVINGS,1226.78,UPI,Investment
2024-01-31,JIO RECHARGE,4100.31,UPI,Bills
2024-01-31,METRO TICKET TXN89499,1904.94,Debit Card,Transport
2024-01-31,MUTUAL FUND INVESTMENT,12946.69,UPI,Investment
2024-01-31,MEDICAL STORE TXN69178,6777.56,Debit Card,Healthcare
2024-02-01,UPI UPI TRANSFER BLR,2816.89,Debit Card,Other
2024-02-01,ROOM RENT,23693.82,Debit Card,Rent
2024-02-01,METRO TICKET,2917.86,Wallet,Transport
2024-02-01,ATM FEE REF683127,4559.1,Wallet,Other
2024-02-01,UPI RELIANCE TRENDS VIJAYAWADA,5422.2,Debit Card,Shopping
2024-02-01,RECURRING DEPOSIT,19478.55,UPI,Investment
2024-02-01,NETFLIX SUBSCRIPTION,2327.44,Credit Card,Entertainment
2024-02-01,OLA CAB REF990856,1536.32,Cash,Transport
2024-02-01,PVR CINEMAS,1111.42,UPI,Entertainment
2024-02-01,CAFE COFFEE DAY,1758.97,Debit Card,Food
2024-02-01,AIRTEL RECHARGE TXN93714,5587.78,Net Banking,Bills
2024-02-01,EXAM FEE REF256557,7083.45,Credit Card,Education
2024-02-02,JIO RECHARGE,1230.54,Cash,Bills
2024-02-02,DIAGNOSTIC LAB REF478722,9945.81,Cash,Healthcare
2024-02-02,UPI ENTERTAINMENT EVENT VIJAYAWADA,2897.93,Credit Card,Entertainment
2024-02-02,ROOM RENT REF258803,20138.79,Cash,Rent
2024-02-02,MYNTRA SHOPPING REF226832,9300.87,Net Banking,Shopping
2024-02-02,MONTHLY RENT,18332.57,Credit Card,Rent
2024-02-02,UPI STOCK INVESTMENT HYD,22987.44,Wallet,Investment
2024-02-02,AJIO PURCHASE REF963167,8958.26,Net Banking,Shopping
2024-02-02,UPI PERSONAL TRANSFER GUNTUR,9150.93,Cash,Other
2024-02-03,HOTSTAR SUBSCRIPTION REF163276,2164.06,UPI,Entertainment
2024-02-03,GROCERY FOOD STORE,151.83,Wallet,Food
2024-02-03,AMAZON PRIME,3672.23,Wallet,Entertainment
2024-02-03,JIO RECHARGE,2392.44,Credit Card,Bills
2024-02-03,TATA PLAY RECHARGE REF459067,4142.98,Credit Card,Bills
2024-02-03,UPI ENTERTAINMENT EVENT BLR,2580.92,Cash,Entertainment
2024-02-03,TATA PLAY RECHARGE TXN46655,3368.4,Net Banking,Bills
2024-02-03,FLIPKART ORDER REF722853,9877.35,Credit Card,Shopping
2024-02-03,MUTUAL FUND INVESTMENT,3731.3,Net Banking,Investment
2024-02-03,UPI AMAZON PURCHASE CHENNAI,4347.03,Cash,Shopping
2024-02-03,UPI TRANSFER REF193811,8085.5,UPI,Other
2024-02-03,MISCELLANEOUS PAYMENT,9250.08,Credit Card,Other
2024-02-03,UPI APARTMENT RENT BLR,19007.68,UPI,Rent
2024-02-03,UPI GOLD SAVINGS CHENNAI,21748.63,Credit Card,Investment
2024-02-03,DOCTOR CONSULTATION,4702.69,Debit Card,Healthcare
2024-02-03,CAFE COFFEE DAY,1233.21,Credit Card,Food
2024-02-04,ACCOMMODATION PAYMENT TXN50814,21631.71,Wallet,Rent
2024-02-04,AMAZON PURCHASE,4003.86,Credit Card,Shopping
2024-02-04,UPI RECURRING DEPOSIT CHENNAI,24482.08,UPI,Investment
